stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49
Electricity_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",12-Jul-23 21:35:25,init,,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.3793401441022955,0.3823388985472476,0.3856046638958483,0.386339120164507,0.3876617663701178,0.3850662177902573,0.3858695960288507,0.3860532233115882,0.3863504952027462,0.3861767761056519,0.3868621056748816,0.3888684013539858,0.3874385308408304,0.3884586364047929,0.3885099479534173,0.3892760026416611,0.3907435313990535,0.3909720851417278,0.3912668820097681,0.395252353848804,0.4018643553626266,0.4005829877540571,0.0,0.2884051904562579,0.0,0.1666666666666666,0.0,0.1328413284132841,0.4465648854961832,0.5577523413111343,0.66376582278481,0.6221161495624504,0.6878657822863831,0.221789883268483,0.0531682447195919,0.0,0.0,0.0,0.0,0.489795918367347,0.5630699088145897,0.868835257082896,0.5055889939810834,0.0762124711316396,0.1078838174273857,0.0,0.3045112781954888,0.1176470588235295,0.2156862745098038,0.2660550458715596,0.527231467473525,0.8409669211195927,0.680746561886051,0.6835443037974683,0.2446496013428452,0.5251857968620974,0.658158614402917,0.9784296807592752,0.0,0.3429697766097242,0.3768693918245264, 0.3396226415094338, 0.1408114558472555, 0.0, 0.0, 0.0, 0.0, 0.4686907020872865, 0.5259481037924152, 0.6050185873605947, 0.15599534342258434, 0.0
Electricity_0_10000_ssl_0.1_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",12-Jul-23 21:41:24,ssl,0.1,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.3423864064790192,0.3455458438434916,0.3459122756784958,0.3474240722153766,0.3467811974162732,0.3474820194410015,0.3500024048692704,0.3504326243958932,0.3497945685509951,0.3498554383900616,0.3477878061586136,0.3520866571500544,0.3536797978147226,0.3528641672960176,0.3566833795223931,0.3592632043137077,0.361937768744145,0.3632175442493587,0.3667581054798132,0.3668232772607417,0.36066867861285,0.3713994515870263,0.0775193798449612,0.5535714285714287,0.0642458100558659,0.413553431798436,0.1659886086248982,0.2886178861788618,0.7048903878583473,0.3663123466884708,0.5882352941176471,0.3569131832797427,-0.149155722326454,0.0,0.0,0.0,0.0,0.3678387988937179,0.5869394177812747,0.693877551020408,0.4409660107334526,0.0,0.042027194066749,0.1251426397869912,0.275700934579439,0.1786015164279696,0.288256227758007,0.4807121661721067,0.8259860788863106,0.6268656716417909,0.4949494949494952,0.1348800629178137,0.6052112120015792,0.9201277955271564,0.0,0.2403314917127069,0.2360379346680714,0.186661244408296,0.1233373639661422,0.0,0.0, 0.0, 0.3074259330511736, 0.6741963509991311, 0.4302643573381952, 0.18513689700130367, 0.0, , , , , 
Electricity_0_10000_ssl_0.2_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",12-Jul-23 21:45:15,ssl,0.2,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.27768456890515,0.2175481741214818,0.279482753585179,0.2812049590738052,0.2826105218231728,0.2834898816617044,0.2781345236009811,0.2783079045144898,0.2849776766302545,0.2859011007419333,0.2846286758021981,0.2610892175549181,0.2857130245787743,0.2883192949132486,0.2845914041307829,0.2904123879707057,0.286398753737658,0.293540351613289,0.2955173375399662,0.2949875877160335,0.1923401955111612,0.2961181679343831,0.0,-0.0320134793597303,0.0455991516436904,0.0,0.0,0.2403314917127074,0.2446496013428452,0.0,-0.0784678319077724,0.1349480968858136,0.0,0.0,0.0,0.32,0.6814018319394662,0.5319383259911894,0.34733257661748,0.0623726049735019,0.0577149587750295,0.26,0.144736842105263,0.0819209039548023,0.5744680851063829,0.6601941747572817,0.6375352396294803,0.0352811466372655,0.4399999999999999,0.7954545454545455,0.5042492917847032,0.1701244813278005,0.1394148020654044,0.0,0.0762124711316396,0.0,0.0,0.0825688073394495,0.6742671009771987,0.3768693918245264,0.1153846153846154, , , , , , , , , , , 
Electricity_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",17-Jul-23 22:26:19,init,,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.3793401441022955,0.3823388985472476,0.3856046638958483,0.386339120164507,0.3876617663701178,0.3850662177902573,0.3858695960288507,0.3860532233115882,0.3863504952027462,0.3861767761056519,0.3868621056748816,0.3888684013539858,0.3874385308408304,0.3884586364047929,0.3885099479534173,0.3892760026416611,0.3907435313990535,0.3909720851417278,0.3912668820097681,0.395252353848804,0.4018643553626266,0.4005829877540571,0.0,0.2884051904562579,0.0,0.1666666666666666,0.0,0.1328413284132841, 0.4465648854961832, 0.5577523413111343, 0.66376582278481, 0.6221161495624504, 0.6878657822863831, 0.221789883268483, 0.053168244719591945, 0.0, 0.0, 0.0, 0.0, 0.489795918367347, 0.5630699088145897, 0.868835257082896, 0.5055889939810834, 0.07621247113163968, 0.10788381742738576, 0.0, 0.3045112781954888, 0.11764705882352951, 0.21568627450980388, 0.26605504587155965, 0.527231467473525, 0.8409669211195927, 0.680746561886051, 0.6835443037974683, 0.24464960134284522, 0.5251857968620974, 0.658158614402917, 0.9784296807592752, 0.0, 0.3429697766097242, 0.37686939182452645, 0.3396226415094338, 0.1408114558472555, 0.0, 0.0, 0.0, 0.0, 0.4686907020872865, 0.5259481037924152, 0.6050185873605947, 0.15599534342258434, 0.0
Electricity_0_10000_ssl_0.9_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",17-Jul-23 22:41:49,ssl,0.9,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.190701450912557,0.0,0.0,0.0,0.2117962466487934,0.0715760495526497,0.0,0.2372587953770175,0.147208121827411,0.0,0.1803251493032517,0.0,0.1443108233117484,0.0,0.2372587953770175,0.0716948037711026,0.147208121827411,0.4285714285714286,0.0,0.0,0.0,0.1961064381315135,0.0,0.6987951807228915,0.0,0.0,0.0,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.4_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",17-Jul-23 22:57:09,ssl,0.4,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.1125766346694023,0.1132124157830472,0.1138481968966921,0.1125455583366268,0.1006757935386076,0.120287952069573,0.1500171644352899,0.0934477079859853,0.1068145103362543,0.1305899265230306,0.1179152695592044,0.1308442623788401,0.1236104067280858,0.1088802707012476,0.0899363217984138,0.1245914777336859,0.145913134484563,0.0938730648914914,0.118587583078716,0.116281882842581,0.1165886923963366,0.1168955019500922,0.0,0.0569823434991973,0.0,0.0,0.0,0.0, 0.0, -0.03833865814696489, 0.0, 0.0, 0.020000000000000018, 0.5873452544704263, 0.17808219178082202, 0.0, 0.01706231454005922, 0.020807833537331677, 0.06483790523690797, 0.019223224794036937, 0.1784037558685449, 0.1954566966398488, 0.058577405857740704, 0.22306629834254152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14733969986357473, 0.11816578483245123, , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.9_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",19-Jul-23 18:37:45,ssl,0.9,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,-0.031371229514686,0.0,0.0,0.0,-0.2589928057553956,-0.0946142649199415,0.0,-0.0207125103562549,-0.25,0.0,-0.038347723863959,0.0,-0.2432432432432435,0.0,-0.0207125103562549,-0.093358999037536,-0.25,0.0,0.0,0.0,0.0,-0.0273752810324162,0.0,-0.1681159420289855,0.0,0.0,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.2_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",19-Jul-23 18:57:49,ssl,0.2,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.3047547604002009,0.3515063148976415,0.3106938493498783,0.3113232951787402,0.313472638682287,0.315367953709206,0.3161369939884264,0.322605449265978,0.321557598551653,0.3226844106587276,0.3226803290051291,0.3469154909729152,0.3208814575117231,0.3208932712430005,0.320851216982666,0.3206215130861317,0.3161303421875163,0.3235116193547787,0.323559090639283,0.3302112337359106,0.3113525194181175,0.3307002968152871,0.1599030890369473,0.0225244368890776,0.432263116679718,0.0415986949429037,0.2172211350293541, 0.6705882352941176, 0.309021113243762, 0.7349102773246329, -0.26432240221256426, -0.08695652173913006, 0.0, 0.0, 0.0, 0.3799999999999999, 0.7030878859857481, 0.489795918367347, 0.4197292069632495, 0.0, 0.10000000000000009, 0.3088552915766739, 0.1399999999999999, 0.1408114558472555, 0.2942050520059436, 0.7727272727272725, 0.6096959737058342, 0.2271505376344089, 0.3173431734317343, 0.788135593220339, 0.8516320474777447, 0.08798283261802559, 0.1697416974169745, 0.044991511035653874, 0.07002188183807458, 0.0, 0.0, 0.044991511035653874, 0.5243757431629014, 0.3539455468389478, 0.1784037558685449, , , , , , , , , , , 
Electricity_0_10000_ssl_0.4_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",19-Jul-23 19:09:30,ssl,0.4,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.1864901862989442,0.1861966117105497,0.1859030371221552,0.1923941080296122,0.2127281947261662,0.1956647584743036,0.1820158088153741,0.2095236184220793,0.194722087544599,0.1972465857031469,0.1919444174135469,0.2013779812848363,0.1966907240617192,0.2023947470065663,0.2150384670569171,0.1969352580795687,0.1905184351739657,0.2435210054223887,0.2012328494730562,0.2066254002048969,0.20773890300294096,0.208852405800985,0.3206106870229007,0.0651085141903171,0.1905120481927709,0.4092162268609688,0.4165170556552962, 0.5622761639474733, -0.13991255465334168, -0.18724559023066453, 0.0, 0.0, 0.3924665856622114, 0.4718309859154927, 0.14965986394557812, 0.04326123128119787, 0.10000000000000009, 0.13043478260869576, 0.0, 0.11764705882352951, 0.5291479820627805, 0.08192090395480237, 0.24242424242424246, 0.533856722276742, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1612657262676326, 0.2394504416094208, 0.0, , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",20-Jul-23 10:55:16,init,,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.3793401441022955,0.3823388985472476,0.3856046638958483,0.386339120164507,0.3876617663701178,0.3850662177902573,0.3858695960288507,0.3860532233115882,0.3863504952027462,0.3861767761056519,0.3868621056748816,0.3888684013539858,0.3874385308408304,0.3884586364047929,0.3885099479534173,0.3892760026416611,0.3907435313990535,0.3909720851417278,0.3912668820097681,0.395252353848804,0.4018643553626266,0.4005829877540571,0.0,0.2884051904562579,0.0,0.1666666666666666,0.0,0.1328413284132841,0.4465648854961832,0.5577523413111343,0.66376582278481,0.6221161495624504,0.6878657822863831,0.221789883268483,0.0531682447195919,0.0,0.0,0.0,0.0,0.489795918367347,0.5630699088145897,0.868835257082896,0.5055889939810834,0.0762124711316396,0.1078838174273857,0.0,0.3045112781954888,0.1176470588235295,0.2156862745098038,0.2660550458715596,0.527231467473525,0.8409669211195927,0.680746561886051,0.6835443037974683,0.2446496013428452,0.5251857968620974,0.658158614402917,0.9784296807592752,0.0,0.3429697766097242,0.3768693918245264,0.3396226415094338,0.1408114558472555,0.0,0.0,0.0,0.0,0.4686907020872865,0.5259481037924152,0.6050185873605947,0.1559953434225843, 0.0
Electricity_0_10000_ssl_0.9_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",30-Jul-23 08:39:07,ssl,0.9,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,20,100,0.03120898352049,0.03120898352049,0.03120898352049,0.03120898352049,0.03120898352049,0.03120898352049,0.03120898352049,0.0283562015940425,0.0283562015940425,0.0283562015940425,0.0283562015940425,0.0283562015940425,0.0283562015940425,0.0283562015940425,0.0283562015940425,0.0283562015940425,0.0255065554231228,0.0255065554231228,0.0255065554231228,0.0255065554231228,0.0255065554231228,0.03120898352049,0.2191780821917807,0.0624999999999999,0.0,0.0,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
